iter	Passed	Remaining
418	2691	3732
419	2697	3724
420	2704	3719
421	2710	3712
422	2716	3706
423	2723	3700
424	2729	3692
425	2736	3687
426	2742	3679
427	2747	3672
428	2754	3665
429	2759	3658
430	2768	3654
431	2773	3646
432	2778	3638
433	2785	3632
434	2790	3624
435	2796	3617
436	2802	3610
437	2807	3602
438	2814	3596
439	2820	3589
440	2825	3581
441	2834	3578
442	2839	3570
443	2845	3563
444	2851	3556
445	2857	3548
446	2863	3542
447	2868	3534
448	2874	3527
449	2880	3520
450	2885	3512
451	2890	3504
452	2898	3499
453	2903	3491
454	2908	3483
455	2915	3477
456	2920	3469
457	2926	3463
458	2932	3455
459	2938	3449
460	2944	3442
461	2949	3434
462	2955	3428
463	2962	3422
464	2968	3414
465	2974	3408
466	2980	3401
467	2985	3393
468	2991	3386
469	2996	3379
470	3002	3372
471	3010	3367
472	3015	3359
473	3021	3352
474	3027	3346
475	3033	3339
476	3041	3334
477	3046	3327
478	3054	3322
479	3060	3315
480	3066	3308
481	3073	3303
482	3078	3295
483	3084	3288
484	3089	3280
485	3094	3273
486	3100	3265
487	3105	3258
488	3110	3250
489	3116	3244
490	3122	3237
491	3128	3230
492	3134	3223
493	3140	3216
494	3146	3209
495	3153	3204
496	3158	3196
497	3165	3190
498	3172	3184
499	3177	3177
500	3185	3172
501	3190	3165
502	3195	3157
503	3202	3151
504	3207	3143
505	3217	3140
506	3222	3133
507	3228	3126
508	3233	3119
509	3239	3112
510	3245	3105
511	3251	3099
512	3257	3092
513	3265	3087
514	3271	3080
515	3280	3076
516	3285	3069
517	3291	3062
518	3298	3056
519	3303	3049
520	3311	3044
521	3316	3037
522	3322	3030
523	3330	3025
524	3336	3018
525	3343	3013
526	3350	3007
527	3359	3003
528	3365	2996
529	3371	2989
530	3379	2985
531	3385	2978
532	3393	2972
533	3398	2965
534	3405	2959
535	3411	2953
536	3416	2945
537	3425	2941
538	3430	2934
539	3436	2927
540	3444	2922
541	3450	2915
542	3460	2912
543	3465	2905
544	3474	2900
545	3480	2894
546	3489	2889
547	3495	2882
548	3501	2876
549	3508	2870
550	3513	2863
551	3520	2857
552	3525	2849
553	3530	2842
554	3537	2836
555	3542	2828
556	3547	2821
557	3555	2816
558	3560	2809
559	3568	2803
560	3573	2796
561	3578	2789
562	3587	2784
563	3592	2777
564	3598	2770
565	3603	2763
566	3608	2756
567	3614	2749
568	3620	2742
569	3625	2735
570	3631	2728
571	3637	2721
572	3641	2714
573	3648	2707
574	3653	2700
575	3659	2693
576	3666	2688
577	3672	2681
578	3680	2676
579	3685	2669
580	3691	2662
581	3699	2656
582	3704	2649
583	3709	2642
584	3716	2636
585	3721	2629
586	3728	2623
587	3734	2616
588	3739	2609
589	3747	2604
590	3752	2596
591	3757	2589
592	3764	2584
593	3770	2577
594	3779	2572
595	3784	2565
596	3789	2557
597	3798	2553
598	3803	2546
599	3812	2541
600	3817	2534
601	3824	2528
602	3830	2521
603	3836	2515
604	3844	2509
605	3849	2502
606	3856	2497
607	3862	2490
608	3868	2483
609	3877	2478
610	3882	2471
611	3889	2465
612	3895	2459
613	3900	2451
614	3909	2447
615	3914	2439
616	3921	2434
617	3926	2427
618	3931	2420
619	3939	2414
620	3944	2407
621	3949	2400
622	3956	2394
623	3962	2387
624	3971	2382
625	3976	2375
626	3982	2369
627	3989	2363
628	3994	2356
629	4002	2350
630	4007	2343
631	4012	2336
632	4020	2330
633	4025	2323
634	4033	2318
635	4038	2311
636	4043	2304
637	4051	2298
638	4057	2292
639	4065	2286
640	4071	2280
641	4077	2273
642	4083	2267
643	4088	2260
644	4095	2254
645	4101	2247
646	4106	2240
647	4113	2234
648	4118	2227
649	4124	2220
650	4131	2215
651	4136	2207
652	4143	2201
653	4148	2194
654	4153	2187
655	4160	2181
656	4166	2175
657	4171	2168
658	4179	2162
659	4184	2155
660	4192	2150
661	4197	2143
662	4202	2136
663	4210	2130
664	4215	2123
665	4220	2116
666	4227	2110
667	4232	2103
668	4238	2097
669	4244	2090
670	4249	2083
671	4256	2077
672	4263	2071
673	4268	2064
674	4275	2058
675	4281	2051
676	4288	2046
677	4294	2039
678	4299	2032
679	4306	2026
680	4311	2019
681	4317	2013
682	4323	2006
683	4328	1999
684	4336	1994
685	4341	1987
686	4346	1980
687	4354	1974
688	4359	1967
689	4364	1961
690	4371	1954
691	4376	1948
692	4384	1942
693	4391	1936
694	4401	1931
695	4407	1925
696	4414	1919
697	4423	1913
698	4428	1907
699	4434	1900
700	4439	1893
701	4446	1887
702	4452	1880
703	4457	1874
704	4465	1868
705	4470	1861
706	4478	1855
707	4484	1849
708	4490	1842
709	4497	1837
710	4503	1830
711	4508	1823
712	4515	1817
713	4521	1810
714	4528	1804
715	4533	1798
716	4539	1791
717	4546	1785
718	4552	1779
719	4562	1774
720	4568	1767
721	4574	1761
722	4580	1754
723	4586	1748
724	4593	1742
725	4599	1735
726	4604	1729
727	4611	1722
728	4616	1716
729	4623	1710
730	4630	1703
731	4637	1697
732	4645	1692
733	4651	1685
734	4659	1679
735	4665	1673
736	4673	1667
737	4680	1661
738	4689	1656
739	4694	1649
740	4699	1642
741	4707	1636
742	4713	1630
743	4720	1624
744	4726	1617
745	4732	1611
746	4738	1604
747	4743	1598
748	4749	1591
749	4757	1585
750	4762	1579
751	4769	1572
752	4775	1566
753	4780	1559
754	4788	1553
755	4794	1547
756	4801	1541
757	4807	1534
758	4812	1528
759	4822	1522
760	4827	1516
761	4834	1510
762	4839	1503
763	4845	1496
764	4852	1490
765	4857	1483
766	4864	1477
767	4869	1471
768	4880	1466
769	4887	1459
770	4893	1453
771	4904	1448
772	4910	1442
773	4918	1436
774	4923	1429
775	4931	1423
776	4937	1416
777	4942	1410
778	4951	1404
779	4956	1397
780	4964	1391
781	4969	1385
782	4974	1378
783	4981	1372
784	4987	1365
785	4994	1359
786	5000	1353
787	5006	1346
788	5014	1341
789	5020	1334
790	5028	1328
791	5035	1322
792	5041	1315
793	5046	1309
794	5051	1302
795	5058	1296
796	5064	1289
797	5070	1283
798	5077	1277
799	5083	1270
800	5091	1264
801	5096	1258
802	5101	1251
803	5107	1245
804	5112	1238
805	5117	1231
806	5125	1225
807	5130	1219
808	5137	1212
809	5143	1206
810	5148	1199
811	5154	1193
812	5160	1186
813	5165	1180
814	5173	1174
815	5179	1167
816	5186	1161
817	5192	1155
818	5197	1148
819	5205	1142
820	5210	1136
821	5216	1129
822	5222	1123
823	5227	1116
824	5234	1110
825	5239	1103
826	5245	1097
827	5252	1091
828	5258	1084
829	5265	1078
830	5271	1072
831	5278	1065
832	5285	1059
833	5291	1053
834	5300	1047
835	5306	1040
836	5313	1034
837	5319	1028
838	5325	1021
839	5332	1015
840	5338	1009
841	5344	1002
842	5352	996
843	5357	990
844	5366	984
845	5372	977
846	5377	971
847	5386	965
848	5395	959
849	5401	953
850	5413	947
851	5420	941
852	5440	937
853	5447	931
854	5452	924
855	5457	918
856	5462	911
857	5466	904
858	5470	897
859	5476	891
860	5481	884
861	5487	878
862	5493	872
863	5498	865
864	5503	858
865	5510	852
866	5515	846
867	5520	839
868	5526	833
869	5531	826
870	5536	819
871	5542	813
872	5547	807
873	5552	800
874	5559	794
875	5564	787
876	5571	781
877	5576	774
878	5582	768
879	5589	762
880	5594	755
881	5599	749
882	5607	742
883	5612	736
884	5620	730
885	5626	723
886	5632	717
887	5637	711
888	5642	704
889	5650	698
890	5655	691
891	5660	685
892	5668	679
893	5673	672
894	5679	666
895	5686	659
896	5692	653
897	5699	647
898	5705	641
899	5712	634
900	5720	628
901	5726	622
902	5733	615
903	5738	609
904	5743	602
905	5749	596
906	5754	590
907	5759	583
908	5766	577
909	5771	570
910	5778	564
911	5784	558
912	5789	551
913	5797	545
914	5802	539
915	5807	532
916	5814	526
917	5819	519
918	5830	513
919	5836	507
920	5848	501
921	5852	495
922	5857	488
923	5864	482
924	5868	475
925	5875	469
926	5880	463
927	5885	456
928	5891	450
929	5897	443
930	5902	437
931	5911	431
932	5916	424
933	5922	418
934	5928	412
935	5933	405
936	5940	399
937	5945	393
938	5951	386
939	5958	380
940	5963	373
941	5968	367
942	5974	361
943	5980	354
944	5985	348
945	5991	342
946	5996	335
947	6003	329
948	6008	322
949	6014	316
950	6020	310
951	6025	303
952	6030	297
953	6037	291
954	6042	284
955	6047	278
956	6055	272
957	6060	265
958	6065	259
959	6073	253
960	6077	246
961	6084	240
962	6090	234
963	6095	227
964	6102	221
965	6107	214
966	6113	208
967	6119	202
968	6124	195
969	6131	189
970	6137	183
971	6142	176
972	6150	170
973	6155	164
974	6160	157
975	6167	151
976	6172	145
977	6179	138
978	6184	132
979	6189	126
980	6197	120
981	6203	113
982	6208	107
983	6217	101
984	6222	94
985	6229	88
986	6234	82
987	6239	75
988	6246	69
989	6251	63
990	6256	56
991	6263	50
992	6267	44
993	6272	37
994	6279	31
995	6283	25
996	6289	18
997	6295	12
998	6300	6
999	6306	0
