iter	RMSE
0	1.107342937
1	1.077713198
2	1.047814465
3	1.018301222
4	0.9902651
5	0.9645163118
6	0.9395154252
7	0.9168978478
8	0.8922107108
9	0.8710593418
10	0.8517330778
11	0.8323479709
12	0.8118137188
13	0.7940093017
14	0.7774792939
15	0.7611098881
16	0.7462466302
17	0.7310495624
18	0.7180049786
19	0.7049778432
20	0.6918353876
21	0.6794499437
22	0.6680763251
23	0.6568226968
24	0.6469402998
25	0.6358219048
26	0.6264350305
27	0.6171597312
28	0.6087029169
29	0.6007816865
30	0.5929797695
31	0.58523208
32	0.5772242294
33	0.5703252592
34	0.565043166
35	0.558047201
36	0.552080642
37	0.5467093205
38	0.541093625
39	0.5357074697
40	0.5308867159
41	0.5260813881
42	0.5218175853
43	0.5172154518
44	0.5125491112
45	0.5089534741
46	0.5052993387
47	0.5009358575
48	0.4969717951
49	0.4939521559
50	0.4911367288
51	0.4885836621
52	0.4854024388
53	0.4821731084
54	0.4790732831
55	0.4762948733
56	0.473772397
57	0.4710326542
58	0.4685986227
59	0.4660643527
60	0.4640437746
61	0.4619378111
62	0.459646022
63	0.4575733002
64	0.4554360025
65	0.4536993785
66	0.4517048954
67	0.4496932752
68	0.448005543
69	0.4461378363
70	0.4446452128
71	0.4432424792
72	0.4417279257
73	0.4396954851
74	0.4385449949
75	0.4368880002
76	0.4357609291
77	0.4344001576
78	0.4330417185
79	0.4320176799
80	0.4308934176
81	0.4297149157
82	0.428761123
83	0.4275567982
84	0.4264415323
85	0.4255815027
86	0.4244856173
87	0.4230413272
88	0.4218899061
89	0.421004299
90	0.4197270531
91	0.4188518436
92	0.4178566357
93	0.4169922763
94	0.4159632297
95	0.4151502985
96	0.4143819252
97	0.4134754565
98	0.4126444956
99	0.4118816124
100	0.4109765958
101	0.410351599
102	0.4095906889
103	0.4084780342
104	0.4076183392
105	0.4068022544
106	0.4059012918
107	0.4049533003
108	0.4041356726
109	0.403237625
110	0.4025669888
111	0.4017979552
112	0.4011121481
113	0.4004075065
114	0.3997077491
115	0.3988558387
116	0.3980665649
117	0.3973404092
118	0.3966431948
119	0.3960954345
120	0.3955886974
121	0.394966462
122	0.3942060717
123	0.393573878
124	0.3928100495
125	0.392255168
126	0.3916184001
127	0.3912103102
128	0.3904600686
129	0.3895631261
130	0.3889453826
131	0.3884302493
132	0.3874962119
133	0.3869887261
134	0.3861503722
135	0.385572458
136	0.3849988553
137	0.3845377419
138	0.3840082635
139	0.3836501929
140	0.3829378806
141	0.3823429535
142	0.3817170907
143	0.3812549414
144	0.3807046996
145	0.3801086409
146	0.3796030639
147	0.379093262
148	0.3784276877
149	0.3779129849
150	0.3773096818
151	0.3766481983
152	0.3761437787
153	0.3757091897
154	0.3750817453
155	0.3747786768
156	0.3741034569
157	0.3735965892
158	0.3731541227
159	0.3726736827
160	0.3722683027
161	0.3715510296
162	0.3711771795
163	0.3708352554
164	0.3701391125
165	0.3696692414
166	0.3692731569
167	0.3686646104
168	0.368288696
169	0.3675721443
170	0.3669682389
171	0.3665566213
172	0.3661489807
173	0.3656020208
174	0.3652266837
175	0.3647250136
176	0.364291112
177	0.363650086
178	0.3631162604
179	0.3623010081
180	0.3617310579
181	0.3611542627
182	0.3607805379
183	0.3600654829
184	0.3597983554
185	0.3591956672
186	0.3586179145
187	0.358210703
188	0.357767414
189	0.3574319605
190	0.3570350728
191	0.3567233668
192	0.3563626389
193	0.3559057926
194	0.355556398
195	0.3550952067
196	0.3545723971
197	0.3541975075
198	0.353886121
199	0.3534496467
200	0.3528974664
201	0.3523035773
202	0.3519267659
203	0.3515772766
204	0.350868442
205	0.3502047502
206	0.3495331468
207	0.3489437763
208	0.3486773831
209	0.3482802984
210	0.3478762446
211	0.3474565582
212	0.3470143109
213	0.3466806938
214	0.3462550298
215	0.3458190901
216	0.3452793073
217	0.344972879
218	0.344419896
219	0.3440946281
220	0.3433092703
221	0.3429358056
222	0.3426439369
223	0.3421257663
224	0.3415207795
225	0.3411241985
226	0.3406295517
227	0.3402535011
228	0.3397387829
229	0.3391611684
230	0.3386807446
231	0.3382334721
232	0.3379378886
233	0.3376696028
234	0.3371123832
235	0.3365709831
236	0.3359375945
237	0.3353253093
238	0.3349636761
239	0.3345631264
240	0.3341470854
241	0.3336692048
242	0.3332964357
243	0.3327598807
244	0.3322384376
245	0.3315922657
246	0.3313180731
247	0.3309991647
248	0.3306921053
249	0.3302222588
250	0.3299568919
251	0.3295248345
252	0.3287545136
253	0.3284726645
254	0.3280013841
255	0.3276811833
256	0.327241041
257	0.326947887
258	0.3264328248
259	0.3257507131
260	0.3250893697
261	0.3245186641
262	0.3239856385
263	0.3234588584
264	0.3230403523
265	0.3225159401
266	0.3221442298
267	0.3217612144
268	0.3212962757
269	0.321067655
270	0.3206683206
271	0.3203465657
272	0.3199043523
273	0.3192610556
274	0.3189363747
275	0.3184170682
276	0.3180944125
277	0.3177853786
278	0.317231853
279	0.3168023596
280	0.316413976
281	0.3159692662
282	0.3153607539
283	0.3151133559
284	0.3148331802
285	0.3144128201
286	0.3140436497
287	0.3137004678
288	0.3132342912
289	0.3129059694
290	0.3125564984
291	0.3122712689
292	0.3119433325
293	0.3116322892
294	0.311185802
295	0.3108240844
296	0.3102883785
297	0.309773123
298	0.3095947751
299	0.30931671
300	0.308850942
301	0.30857223
302	0.308388119
303	0.3080226377
304	0.3077028052
305	0.3074459917
306	0.3071320123
307	0.3066658546
308	0.3063015863
309	0.3059299272
310	0.3055834539
311	0.3052366245
312	0.304918626
313	0.3045841231
314	0.3042229977
315	0.303887513
316	0.3035445597
317	0.3032202206
318	0.3027857518
319	0.3023730468
320	0.3022450343
321	0.3019040845
322	0.3017726087
323	0.3015292276
324	0.3012469015
325	0.3009189823
326	0.3005418768
327	0.3002911087
328	0.2999792641
329	0.299745192
330	0.2994306677
331	0.2991156139
332	0.2987598751
333	0.2986987285
334	0.2982400121
335	0.2979488182
336	0.2976020053
337	0.2972868966
338	0.2971148423
339	0.2967912695
340	0.296609815
341	0.2962889185
342	0.2959480211
343	0.295670384
344	0.2955641437
345	0.2953198887
346	0.2951358404
347	0.294969964
348	0.2945077665
349	0.2940754271
350	0.2940282662
351	0.2936685924
352	0.2934137993
353	0.293078084
354	0.2928736938
355	0.2926009852
356	0.2921801991
357	0.2918490694
358	0.2916726624
359	0.2913751115
360	0.2910493465
361	0.2907833057
362	0.290432342
363	0.2900421999
364	0.2897598059
365	0.2894665948
366	0.2893140927
367	0.2890013454
368	0.2888214667
369	0.288646029
370	0.2883661603
371	0.2879252646
372	0.2875259605
373	0.2871915551
374	0.2869273881
375	0.2867151661
376	0.2865599472
377	0.2864666445
378	0.2862261872
379	0.2859745815
380	0.2856990237
381	0.28539717
382	0.2851276549
383	0.2848954505
384	0.2845743964
385	0.2844411124
386	0.2841192244
387	0.2837339322
388	0.2836143232
389	0.2831866765
390	0.2829556255
391	0.2825819229
392	0.2823973024
393	0.282330764
394	0.2822280077
395	0.2819144152
396	0.2816883129
397	0.2814198588
398	0.2813021015
399	0.281208755
400	0.2809530856
401	0.2806517938
402	0.2801943515
403	0.2798105014
404	0.2796666533
405	0.2794498787
406	0.2791538154
407	0.2787999897
408	0.2784265972
409	0.2781064305
410	0.2778410841
411	0.2775556088
412	0.2772757086
413	0.2770460228
414	0.2767612522
415	0.2765007726
416	0.2761638534
417	0.2758916602
418	0.2756775342
419	0.2754509221
420	0.2750465698
421	0.2745145486
422	0.2742941894
423	0.274068024
424	0.2737636538
425	0.2733758432
426	0.2730220752
427	0.2727597366
428	0.2725326317
429	0.272206185
430	0.2717972666
431	0.2714608506
432	0.2712828183
433	0.2710320853
434	0.2707344491
435	0.2705264143
436	0.2701708983
437	0.2699277725
438	0.2696474855
439	0.2695636959
440	0.2693292989
441	0.2692510299
442	0.2690623149
443	0.2687563863
444	0.2684376038
445	0.2681782319
446	0.2680114854
447	0.2677121044
448	0.2673467759
449	0.2672475299
450	0.2668935398
451	0.2666188949
452	0.2663851148
453	0.2660960893
454	0.2656973246
455	0.2654767162
456	0.2652039875
457	0.2649679167
458	0.2645505073
459	0.2643175254
460	0.2641486732
461	0.26392827
462	0.2635958654
463	0.2633171203
464	0.2630419747
465	0.2627995086
466	0.2624584725
467	0.2622165307
468	0.2619181571
469	0.2615539334
470	0.2612008513
471	0.2609368245
472	0.260765069
473	0.2606071292
474	0.2602740023
475	0.2602347565
476	0.2598529341
477	0.2595431272
478	0.2592552125
479	0.2589643321
480	0.2586851372
481	0.2585497749
482	0.2582288548
483	0.2580051233
484	0.2578235
485	0.2576201446
486	0.2575652376
487	0.2573688698
488	0.2572128301
489	0.2568591687
490	0.2566098069
491	0.2562912524
492	0.2562132784
493	0.2559760821
494	0.2558936141
495	0.2556346667
496	0.2553376769
497	0.2549978673
498	0.2547104168
499	0.2544733197
500	0.2542216871
501	0.2540376242
502	0.253788462
503	0.2536983733
504	0.2534821483
505	0.2531729288
506	0.2528687835
507	0.252627844
508	0.2524281154
509	0.2521883902
510	0.2519815603
511	0.2518987277
512	0.2516577519
513	0.2514083414
514	0.2512086105
515	0.2509685733
516	0.2506904861
517	0.250500088
518	0.2501380664
519	0.2499296767
520	0.2497323762
521	0.2495450953
522	0.2492521644
523	0.2490921411
524	0.2487246498
525	0.2484322009
526	0.2482378407
527	0.2479944017
528	0.2478319794
529	0.2476009585
530	0.2472315677
531	0.2469834283
532	0.2468047103
533	0.2466764968
534	0.246463433
535	0.2462594456
536	0.2460125936
537	0.2457544654
538	0.2454558258
539	0.2452862575
540	0.2450205191
541	0.2448079412
542	0.2446090262
543	0.2444290603
544	0.2441714434
545	0.2439285472
546	0.2436897117
547	0.2434492881
548	0.2432062859
549	0.2429576127
550	0.2427674736
551	0.2425228102
552	0.2422595039
553	0.2421171147
554	0.2418575926
555	0.2415780281
556	0.2412863379
557	0.2410961978
558	0.2408996675
559	0.240884854
560	0.2407055783
561	0.2405559047
562	0.2402929608
563	0.239979263
564	0.2398354526
565	0.2396804841
566	0.2395364654
567	0.2392654851
568	0.2390317138
569	0.2387990451
570	0.2386266624
571	0.2383737654
572	0.2383350214
573	0.238147598
574	0.2379625229
575	0.2378043628
576	0.2375749028
577	0.2373420157
578	0.2371225522
579	0.2369653311
580	0.2366137486
581	0.2364201362
582	0.2361984615
583	0.2359918291
584	0.2357792446
585	0.2357154278
586	0.2354627805
587	0.2352648763
588	0.2350826968
589	0.2347797568
590	0.2345289342
591	0.2343514845
592	0.2342413868
593	0.234061804
594	0.2337687413
595	0.2336129313
596	0.2334250586
597	0.2331848913
598	0.2329536109
599	0.2327805647
600	0.2326288586
601	0.2323894524
602	0.2322579959
603	0.2319005648
604	0.2316404615
605	0.231520272
606	0.2312990359
607	0.231165147
608	0.231012695
609	0.2308139928
610	0.2305864119
611	0.2303122362
612	0.2301293776
613	0.2300168055
614	0.2298575154
615	0.2296304297
616	0.2294300541
617	0.2292280032
618	0.2290500904
619	0.2287916654
620	0.2286610442
621	0.2284451527
622	0.2282687013
623	0.2281270068
624	0.2279325357
625	0.2276893906
